Id;;USERNAME;;AGE;;EMAIL
1;;jdoea;;25;;jdoea@example.com
2;;asmith;;32;;asmith@example.org
3;;mdupont;;28;;mdupont@domain.fr
4;;knguyen;;22;;knguyen@gmail.com
5;;lmartin;;35;;lmartin@yahoo.com
6;;pdiop;;29;;pdiop@senegal.sn
7;;mwilson;;40;;mwilson@company.com
8;;bjackson;;31;;bjackson@mail.net
9;;nrodriguez;;27;;nrodriguez@proton.me
10;;ahassan;;26;;ahassan@outlook.com
11;;ccissé;;30;;ccisse@uemail.ma
12;;tsow;;24;;tsow@ghana.com
13;;rsmith;;33;;rsmith@infosys.io
14;;acamara;;21;;acamara@guinee.gn
15;;efrank;;38;;efrank@zmail.com
16;;yli;;36;;yli@asia.cn
17;;oosman;;29;;oosman@tech.africa
18;;fmuller;;34;;fmuller@europe.eu
19;;zchan;;23;;zchan@cloudservice.org
20;;dgarcia;;37;;dgarcia@correo.mx
